,apple_total_sleep,eight_total_sleep,apple_deep,eight_deep,apple_rem,eight_rem,apple_core,eight_core,apple_awake,eight_awake
2025-12-02,435.75000000000006,541.5,41.8,54.5,130.35000000000002,88.5,263.59999999999997,398.5,18.433333333333334,17.5
2025-12-03,125.35000000000001,518.5,0.0,33.5,0.0,63.5,0.0,421.5,26.366666666666667,30.5
2025-12-04,218.41666666666669,332.0,67.65,34.5,39.8,53.5,110.96666666666667,244.0,8.433333333333334,123.5
2025-12-05,374.56666666666666,493.5,39.28333333333333,34.0,112.91666666666667,98.5,222.36666666666667,361.0,8.966666666666667,62.0
2025-12-06,505.9166666666666,464.5,26.383333333333333,63.5,138.76666666666668,52.5,340.7666666666666,348.5,15.9,139.5
2025-12-07,409.4,425.5,37.3,35.0,119.86666666666666,127.5,252.23333333333332,263.0,30.35,111.5
2025-12-08,385.5166666666667,378.5,25.366666666666667,84.0,111.41666666666667,94.0,248.73333333333332,200.5,1.0,110.0
2025-12-09,444.2166666666667,549.0,26.366666666666667,11.5,109.93333333333334,100.5,307.9166666666667,437.0,38.3,44.5
2025-12-10,320.3666666666667,297.5,60.68333333333334,23.0,65.16666666666666,23.0,194.51666666666665,251.5,0.0,109.5
2025-12-11,396.96666666666664,512.5,38.81666666666666,102.0,93.55000000000001,89.5,264.59999999999997,321.0,10.95,46.0
2025-12-12,387.54999999999995,454.0,57.699999999999996,82.5,109.93333333333332,69.0,219.91666666666669,302.5,29.31666666666667,181.5
2025-12-13,375.0833333333333,452.0,36.3,48.5,56.21666666666667,62.0,282.56666666666666,341.5,1.4833333333333334,256.0
2025-12-14,465.1666666666667,462.0,41.28333333333333,46.5,123.88333333333335,64.0,300.0,351.5,35.266666666666666,154.0
2025-12-15,291.49999999999994,301.5,41.28333333333333,59.5,61.2,77.5,189.01666666666668,164.5,3.4833333333333334,149.5
2025-12-16,209.9333333333333,497.5,18.900000000000002,46.5,59.18333333333334,104.0,131.85,347.0,7.466666666666667,80.0
2025-12-17,439.25000000000006,431.0,54.21666666666667,100.5,139.28333333333336,65.0,245.75,265.5,1.9833333333333334,51.0
2025-12-19,269.1333333333333,330.5,38.81666666666666,83.0,96.01666666666667,59.0,134.3,188.5,0.0,85.5
2025-12-20,271.6,311.5,48.233333333333334,36.0,57.18333333333334,48.5,166.18333333333334,227.0,7.466666666666667,176.5
2025-12-21,523.8166666666667,410.5,32.31666666666667,62.5,126.86666666666665,53.0,364.63333333333327,295.0,10.45,178.0
2025-12-22,213.4,352.5,29.35,69.5,80.08333333333334,65.5,103.96666666666667,217.5,0.0,166.5
2025-12-23,296.49999999999994,283.0,32.83333333333333,10.5,108.46666666666667,22.5,155.20000000000002,250.0,16.4,219.5
2025-12-24,435.76666666666665,442.0,66.16666666666666,50.5,110.93333333333334,72.0,258.6666666666667,319.5,3.9833333333333334,48.0
2025-12-26,460.13333333333327,447.0,46.25,37.0,114.41666666666667,103.0,299.46666666666664,307.0,9.966666666666667,84.5
2025-12-27,328.80000000000007,398.5,43.266666666666666,76.0,101.46666666666667,60.0,184.06666666666663,262.5,46.266666666666666,146.5
2025-12-28,401.43333333333334,428.0,28.35,35.5,117.88333333333333,49.5,255.20000000000002,343.0,15.433333333333334,99.0
2025-12-29,454.16666666666663,500.0,56.75,76.5,106.48333333333335,122.0,290.9333333333333,301.5,10.45,25.0
2025-12-30,376.06666666666666,189.0,58.7,3.5,88.56666666666666,46.0,228.79999999999998,139.5,7.466666666666667,331.5
2025-12-31,65.65,441.5,0.0,89.5,0.0,28.0,0.0,324.0,1.0,240.0
2026-01-01,393.98333333333335,478.5,17.383333333333333,85.5,121.35,38.5,255.24999999999997,354.5,13.433333333333334,147.5
2026-01-02,414.8666666666667,329.5,33.81666666666666,76.0,91.03333333333333,30.5,290.0166666666667,223.0,30.35,198.0
2026-01-03,348.73333333333335,386.5,27.85,57.0,112.93333333333334,92.0,207.95,237.5,2.4833333333333334,63.0
